,station,line,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
75,김포공항,3호선,7885,13838,11869,12644,16339,9690,37.562434,126.801058
76,까치산,4호선,116320,16876,36617,30145,22720,80724,37.531768,126.846683
77,까치울,4호선,28366,6626,9301,7699,7386,19606,37.506207,126.810939
78,낙성대(강감찬),4호선,84929,26389,32898,26484,29499,63257,37.47693,126.963693
79,남구로,4호선,29026,57910,15453,16343,35960,24837,37.486056,126.887249
80,남동인더스파크,4호선,1392,12792,2176,1427,6791,1445,37.407722,126.695216
81,남부터미널(예술의전당),4호선,33322,98077,42630,44199,76896,40560,37.485013,127.016189
82,남성,4호선,40706,10712,14809,12744,11133,26258,37.484596,126.971251
83,남영,4호선,12878,35061,12520,11511,23318,14068,37.541021,126.9713
84,남춘천,4호선,4128,3489,5197,5199,3822,4731,37.864007,127.723792
85,남태령,4호선,3012,3269,2100,1254,2121,1525,37.463873,126.989134
86,남한산성입구(성남법원.검찰청),4호선,47856,17750,17930,13998,13768,29331,37.451535,127.159816
87,내방,4호선,20583,47825,16810,15932,32732,18501,37.487618,126.993513
88,노들,4호선,15083,3234,6287,4753,4331,9950,37.512887,126.953222
89,노량진,4호선,41110,34049,23709,22466,30656,38890,37.514219,126.942454
90,노원,4호선,40422,29232,30023,31835,31429,47295,37.655128,127.061368
91,녹번,4호선,54310,11600,18203,12791,11827,34523,37.600927,126.935756
92,녹사평(용산구청),4호선,6244,10646,6787,7942,12459,9624,37.534675,126.986695
93,녹양,4호선,14223,5690,6601,5165,4987,10556,37.75938,127.042292
94,녹천,4호선,16701,3641,6718,4806,3744,10142,37.644799,127.051269
95,논현,4호선,12438,84932,19127,24376,56865,20815,37.511093,127.021415
96,능곡,4호선,12826,3775,4981,4108,3601,8067,37.618808,126.820783
97,단대오거리,4호선,32897,13197,13886,11058,12459,23962,37.44521,127.156866
98,달월,5호선,91,191,103,82,236,63,37.379681,126.745177
99,답십리,5호선,53830,21422,18819,15916,19548,34303,37.566747,127.052704
100,당고개,5호선,43643,11475,18360,14645,11992,28827,37.670272,127.079066
101,당산,5호선,45795,36890,24016,21304,31626,43838,37.53438,126.902281
102,당정,5호선,19467,10543,8062,6058,8539,14369,37.344285,126.948345
103,대곡,5호선,5178,2216,2334,1785,2526,2757,37.631626,126.811024
104,대공원,5호선,1134,11465,8435,9909,8601,1305,37.435675,127.006523
105,대림(구로구청),5호선,45977,25967,24162,24902,24278,37324,37.49297,126.895801
106,대모산입구,5호선,8791,5808,5122,3762,4835,5473,37.491373,127.07272
107,대방,5호선,30163,36159,17138,13931,24311,24399,37.513342,126.926382
108,대성리,5호선,1120,960,1504,1496,912,922,37.684071,127.379319
109,대야미,5호선,14245,5958,6898,5211,6227,9722,37.328467,126.917332
110,대청,5호선,24523,16423,13972,10026,14459,18025,37.493514,127.079532
111,대치,5호선,20993,20517,14668,16241,20198,19777,37.494612,127.063642
112,대화,5호선,44153,15684,19444,14005,14558,24235,37.676087,126.747569
113,대흥(서강대앞),5호선,15110,20794,11386,11472,15404,13667,37.547771,126.942069
114,덕계,5호선,8767,2696,3430,2489,2239,5619,37.818486,127.056486
115,덕소,5호선,19586,5332,8724,7275,5204,14610,37.586781,127.208832
116,덕정,5호선,16251,10877,8932,6749,7801,12193,37.843188,127.061277
117,도곡,5호선,9105,17581,8644,7359,12320,8213,37.490858,127.055381
118,도농,5호선,35499,8980,12607,9261,8207,22868,37.608806,127.161153
119,도림천,5호선,2609,3944,1976,1477,1995,1970,37.514287,126.882768
120,도봉,5호선,16995,7149,9494,8397,6131,12414,37.679563,127.045595
121,도봉산,5호선,28059,9701,13961,12380,8549,17287,37.689313,127.046222
